clave,descripcion
701,TUXTLA GUTIERREZ
702,SAN CRISTÓBAL DE LAS CASAS
703,COMITÁN
704,VILLAFLORES
705,PICHUCALCO
706,PALENQUE
707,TAPACHULA
708,TONALÁ
709,OCOSINGO
710,MOTOZINTLA
